"Ocupacion","NoPago","TotalMonto","EstadoContrato","Producto","FechaInicioC","FechaAdjudicación","FechaUltimoPago","FechaProyectadaFin","MontoVencido","Mensualidad","Ingresos","Legal","EdadActual","AZULEstatus","AdjudicaReal","PagosPuntuales","CostoAdmin","Genero","PersonaTipo","dtEstadoContrato","GrupoOrigenVenta","SemanasAdjud","Pagos9","Domicilia_Pago","Email","timetotV","Y"
"ejecutivo (a)",60,265464,"automático","autos","2015-12-18","2018-10-19","2021-03-09","2020-12-18",0,4424,20666,"normal",51,"express","automatica",60,29483,"mujer","fisica","automático","captacion",148.0,8,1,1,60,1
"analista",56,290146,"automático","autos","2015-12-18","2019-04-26","2020-06-25","2020-12-18",0,4835,30372,"normal",23,"express","automatica",56,26227,"hombre","fisica","automático","modulo-agencia",175.0,8,0,1,56,1
"coordinador (a)",59,306787,"automático","autos","2015-04-17","2016-11-18","2020-07-15","2020-04-17",10226,5113,25305,"normal",31,"express","automatica",57,30841,"hombre","fisica","automático","captacion",83.0,8,1,1,60,1
"perito",50,191162,"sorteo","autos","2015-05-15","2015-10-16","2019-05-15","2020-05-15",31860,3186,11031,"legal",36,"normal","normal",40,24240,"mujer","fisica","sorteo","modulo-agencia",22.0,8,0,1,59,0
"comerciante",60,412910,"automático","autos","2015-12-18","2017-12-15","2020-11-03","2020-12-18",6881,6881,40159,"normal",37,"express","automatica",59,28343,"mujer","fisica","automático","modulo-agencia",104.0,3,1,1,61,1
"comerciante",55,523727,"sorteo","autos","2015-11-20","2017-01-20","2020-03-02","2020-11-20",0,8728,37228,"normal",44,"express","automatica",55,25975,"mujer","fisica","sorteo","modulo-agencia",61.0,7,0,1,55,1
"docente",37,324132,"subastado con 009","autos","2016-02-19","2017-02-17","2019-01-17","2021-02-19",10804,5402,23218,"normal",50,"express","automatica",35,17772,"mujer","fisica","subasta (0,20]","evento",52.0,8,0,1,38,1
"jubilado (a)",60,289247,"automático","autos","2015-01-16","2015-11-20","2020-01-02","2020-01-16",9640,4820,25218,"normal",55,"express","automatica",58,29315,"hombre","fisica","automático","captacion",44.0,9,1,1,62,1
"administrador (a)",60,277837,"sorteo","autos","2015-05-15","2016-01-15","2021-04-19","2020-05-15",0,4630,21876,"normal",41,"normal","normal",60,34073,"mujer","fisica","sorteo","modulo-agencia",35.0,8,1,1,60,1
"propietario (a)",48,499999,"sorteo","autos","2015-03-20","2015-07-17","2019-02-01","2020-03-20",16666,8333,37138,"normal",75,"normal","normal",46,23434,"hombre","moral","sorteo","modulo-agencia",17.0,8,1,1,49,1
"docente",49,289732,"subastado con 013","autos","2015-06-19","2015-06-19","2022-05-18","2020-06-19",9656,4828,31321,"normal",47,"normal","normal",47,23716,"mujer","fisica","subasta (0,20]","modulo-agencia",0.0,9,1,1,50,1
"vendedor (a)",40,203075,"sorteo","autos","2015-05-15","2016-01-15","2018-08-31","2020-05-15",23688,3384,22548,"legal",34,"normal","normal",33,19703,"mujer","fisica","sorteo","modulo-agencia",35.0,9,0,1,46,0
"director (a)",60,329107,"automático","autos","2015-11-20","2016-09-23","2021-12-10","2020-11-20",0,5485,23844,"normal",38,"express","automatica",60,33602,"hombre","fisica","automático","captacion",44.0,9,0,1,60,1
"enfermera (o)",60,347190,"sorteo","autos","2015-11-20","2017-02-17","2020-12-02","2020-11-20",0,5786,39314,"normal",57,"express","automatica",60,28762,"mujer","moral","sorteo","modulo-agencia",65.0,9,0,1,60,1
"cocinero (a)",14,58182,"sorteo","autos","2015-06-19","2016-01-15","2016-07-06","2020-06-19",6783,2000,6690,"legal",24,"normal","normal",7,7225,"hombre","fisica","sorteo","captacion",30.0,9,0,1,20,0
"mesero (a)",43,264785,"sorteo","autos","2015-08-21","2017-01-20","2019-02-01","2020-08-21",35304,4413,29639,"legal",34,"express","automatica",35,20811,"hombre","fisica","sorteo","modulo-agencia",74.0,8,0,1,46,0
"mesero (a)",56,247619,"automático","autos","2015-02-20","2018-10-19","2020-02-28","2020-02-20",0,4126,21748,"normal",25,"express","automatica",56,29218,"hombre","fisica","automático","captacion",191.0,9,0,1,56,1
"gerente",40,392562,"subastado con 013","autos","2015-01-16","2015-09-18","2018-04-25","2020-01-16",0,6542,20617,"normal",37,"normal","normal",40,19962,"hombre","fisica","subasta (0,20]","modulo-agencia",35.0,9,1,1,40,1
"vendedor (a)",52,321066,"subastado con 013","autos","2016-08-19","2016-11-18","2020-10-01","2021-08-19",5351,5351,25897,"normal",28,"normal","normal",51,23824,"hombre","fisica","subasta (0,20]","modulo-agencia",13.0,8,0,1,53,1
"médico (a)",60,413490,"sorteo","autos","2016-08-19","2017-03-17","2021-07-26","2021-08-19",13782,6891,33165,"normal",55,"normal","normal",58,27524,"mujer","moral","sorteo","captacion",30.0,8,0,1,61,1
"supervisor (a)",46,205224,"automático","autos","2015-02-20","2016-01-15","2018-11-01","2020-02-20",13680,3420,18911,"legal",28,"express","automatica",42,22626,"hombre","fisica","automático","evento",47.0,8,0,1,47,0
"director (a)",60,671330,"sorteo","autos","2016-09-23","2017-02-17","2022-03-02","2021-09-23",11188,11188,39877,"normal",46,"normal","normal",59,30146,"hombre","fisica","sorteo","modulo-agencia",21.0,8,0,1,61,1
"agente",55,469860,"sorteo","autos","2015-06-19","2015-10-16","2020-05-22","2020-06-19",7831,7831,44091,"normal",53,"normal","normal",54,28939,"hombre","fisica","sorteo","captacion",17.0,8,1,1,56,1
"empleado (a)",56,434440,"automático","autos","2017-09-15","2019-02-15","2022-05-09","2022-09-15",14480,7240,46494,"normal",37,"express","automatica",54,24242,"hombre","fisica","automático","modulo-agencia",74.0,7,0,1,57,1
"operador (a)",31,269140,"automático","autos 6 &amp; ya","2017-09-15","2018-09-21","2020-02-04","2022-09-15",35880,4485,30198,"legal",36,"express","automatica",23,13991,"hombre","fisica","automático","web",53.0,8,0,1,34,0
"propietario (a)",34,332438,"subastado con 013","autos","2016-05-20","2016-07-15","2019-02-06","2021-05-20",5540,5540,35792,"normal",69,"normal","normal",33,16174,"mujer","moral","subasta (0,20]","captacion",8.0,9,0,1,35,1
"comerciante",57,297820,"automático","autos","2017-09-15","2018-08-17","2022-05-02","2022-09-15",4963,4963,23215,"normal",62,"express","automatica",56,24621,"hombre","moral","automático","telemkt",48.0,8,0,0,58,1
"propietario (a)",43,785810,"sorteo","autos 6 &amp; ya","2016-08-19","2018-04-20","2020-02-07","2021-08-19",26192,13096,72330,"normal",36,"express","automatica",41,19896,"hombre","fisica","sorteo","captacion",87.0,9,0,1,45,1
"empleado (a)",59,343666,"automático","autos","2016-11-18","2017-11-17","2022-04-20","2021-11-18",11454,5727,26766,"normal",44,"express","automatica",57,29005,"mujer","fisica","automático","captacion",52.0,8,0,1,60,1
"supervisor (a)",60,390390,"automático","autos","2017-02-17","2017-11-17","2022-01-03","2022-02-17",0,6506,43285,"normal",27,"express","automatica",60,26374,"mujer","fisica","automático","captacion",39.0,8,0,1,60,1
