"Ocupacion","NoPago","TotalMonto","EstadoContrato","Producto","FechaInicioC","FechaAdjudicación","FechaUltimoPago","FechaProyectadaFin","MontoVencido","Mensualidad","Ingresos","Legal","EdadActual","AZULEstatus","AdjudicaReal","PagosPuntuales","CostoAdmin","Genero","PersonaTipo","dtEstadoContrato","GrupoOrigenVenta","SemanasAdjud","Pagos9","Domicilia_Pago","Email","timetotV","Y"
50.0,1.1698164254016994,-0.19275645955711695,0.0,0.0,-0.16664142930793868,-0.023268360378100584,0.7053756071709123,-0.16664142930793868,-0.509294730187056,-0.21784620600141447,-0.3368164950821357,1.0,-1.3746565347809665,0.0,0.0,59,0.9180371367231749,1.0,0.0,0.0,0.0,0.5213018459118931,-2.0176553309541028,-0.4501619939596997,0.13916893275819892,1.1536854012466558,1
52.0,-0.2084864446610745,-0.5431734916755548,0.0,0.0,0.5348261057598085,1.2279552788736348,0.6988085945444268,0.5348261057598085,-0.5627028437615579,-0.5797709102306865,-0.12116213275053346,1.0,-0.9347523667176791,0.0,0.0,40,-0.3650067647898034,1.0,0.0,0.0,0.0,0.6569704708227392,-1.0415279332985137,-0.4501619939596997,0.13916893275819892,-0.2668332056930412,1
25.0,-1.731873827362035,-1.5368041811730695,7.0,1.0,1.8512468465702807,1.8923029749428013,0.6989498206224157,1.8512468465702807,-0.870486886732244,-1.5362458696135055,-1.4483778865240078,1.0,-1.1986948675556517,0.0,0.0,20,-1.7081385244980682,0.0,0.0,2.0,2.0,-0.25879274732547125,0.9107268620126644,-0.4501619939596997,0.13916893275819892,-1.9116442242547955,1
85.0,-0.13594418834198113,0.8862519756499602,7.0,1.0,0.5348261057598085,0.6217275239791764,0.7053756071709123,0.5348261057598085,0.18067810680272522,0.8961591628665322,1.163252732729405,1.0,-0.4948481986543918,0.0,0.0,40,-0.3095972799819845,0.0,0.0,2.0,2.0,-0.22487559109775976,-0.06540053564292464,-0.4501619939596997,0.13916893275819892,-0.11730493127833623,1
62.0,-2.747465415829342,-1.7482522048201985,1.0,1.0,1.8308040784054493,1.2536286824114082,-0.6851363567081432,1.8308040784054493,0.3718141638072607,-1.5362458696135055,-1.4689533702388142,0.0,-1.2866757011683092,1.0,2.0,4,-2.5173509213615977,0.0,0.0,1.0,2.0,-1.411976059067662,-2.993782728609692,-0.4501619939596997,0.13916893275819892,-2.285464910291558,0
58.0,0.08168258061529896,0.9914928548104233,5.0,0.0,-0.8280919116608687,-1.313711671365932,-0.7279278583387906,-0.8280919116608687,-0.32890695188940156,1.004567186598233,1.138795082275956,1.0,-0.4948481986543918,1.0,2.0,44,0.15326928704058723,0.0,0.0,2.0,0.0,-1.411976059067662,0.9107268620126644,-0.4501619939596997,0.13916893275819892,0.03222334313636872,1
77.0,1.1698164254016994,1.3739698411954138,1.0,0.0,-0.1796686835306254,-0.6876160564472671,0.6851096649795001,-0.1796686835306254,-0.27066627889630207,1.3992401479964565,0.8672375189078989,1.0,-1.2866757011683092,1.0,2.0,59,0.9332418502324444,0.0,0.0,1.0,0.0,-1.411976059067662,-0.06540053564292464,-0.4501619939596997,0.13916893275819892,1.1536854012466558,1
38.0,0.22676709325348568,0.31098682526630056,0.0,0.0,-1.5160645474825507,-1.3002944152456888,-1.4482514691213544,-1.5160645474825507,-0.432557019419324,0.302173532836588,0.06712295407363766,1.0,1.8806343088873603,0.0,0.0,46,0.4683284948528557,0.0,1.0,0.0,3.0,1.1318106580107001,-0.06540053564292464,2.2214225399257583,0.13916893275819892,0.18175161755107366,1
117.0,-0.716282238894728,-0.915805510586028,1.0,0.0,1.1828484952985845,0.6472719154388705,0.7053049941319178,1.1828484952985845,-0.870486886732244,-0.964280619404063,-1.1610004936959817,1.0,-0.9347523667176791,1.0,2.0,34,-0.8288967259908836,0.0,0.0,1.0,0.0,-0.9710530281074127,-2.0176553309541028,2.2214225399257583,0.13916893275819892,-0.864946303351861,1
50.0,1.1698164254016994,0.7943929596863406,0.0,0.0,-1.4825945250950325,-1.2939728234198047,-0.685701261020099,-1.4825945250950325,-0.35890214828069744,0.8013021421012939,0.7893030216296466,1.0,-1.1107140339429942,0.0,0.0,59,1.3566346417982587,0.0,0.0,0.0,3.0,0.5213018459118931,-1.0415279332985137,-0.4501619939596997,0.13916893275819892,1.1536854012466558,1
106.0,-0.06340193202288777,0.233849681961334,7.0,0.0,0.5217988515371218,1.2279552788736348,0.6993028858173881,0.5217988515371218,-0.01812338927958585,0.2225613904086202,0.03422159096364075,1.0,-0.8467715331050217,0.0,0.0,41,-0.23269651742548647,1.0,0.0,2.0,2.0,0.9283077206444311,0.9107268620126644,2.2214225399257583,0.13916893275819892,-0.04254079407098375,1
97.0,-1.8044160836811283,-1.1620117388445772,7.0,1.0,1.8642741007929675,1.8995276513152402,0.6983143032714656,1.8642741007929675,-0.6569377524242124,-1.2183619250252369,-0.6178853669598674,1.0,0.7368834719228129,0.0,0.0,18,-1.7701269718820134,0.0,0.0,2.0,2.0,-0.32662705978089424,-0.06540053564292464,-0.4501619939596997,0.13916893275819892,-1.9116442242547955,1
52.0,-0.7888244952138214,-1.1572351064773114,1.0,1.0,1.1897963642173508,1.8733381994651497,0.6985967554274434,1.1897963642173508,-0.4420554982765677,-1.213844924036416,-1.039585728944931,1.0,1.3527493072114154,0.0,0.0,31,-0.893370559236921,0.0,0.0,1.0,0.0,0.9622248768721426,-1.0415279332985137,2.2214225399257583,0.13916893275819892,-0.864946303351861,1
111.0,-2.0945851089575016,-1.670394920375892,0.0,1.0,-0.17312165320332645,-0.6363982614497996,-2.1108136140064437,-0.17312165320332645,0.08194391868137627,-1.5362458696135055,-1.5556227426790126,0.0,-0.4068673650417343,0.0,0.0,8,-1.8639868379680813,0.0,0.0,0.0,0.0,-0.3944613722363172,0.9107268620126644,-0.4501619939596997,0.13916893275819892,-1.836880087047443,0
18.0,1.1698164254016994,1.7445143623728643,0.0,0.0,-1.5160645474825507,-1.3393205688646659,-0.705190459782572,-1.5160645474825507,0.44213623534685437,1.782055981799025,0.39390433929888724,1.0,-1.1986948675556517,0.0,0.0,58,1.553857319913688,1.0,0.0,0.0,3.0,0.2160474398624897,0.9107268620126644,-0.4501619939596997,0.13916893275819892,1.2284495384540084,1
97.0,0.7345628874871392,0.2799660620109471,0.0,0.0,-0.12662437659312148,0.5829593945163578,0.7054462202099068,-0.12662437659312148,-0.4373062588479459,0.2699899007912393,0.6776907278936689,1.0,-0.14292486420376185,0.0,0.0,53,0.49800692602960306,1.0,0.0,0.0,3.0,0.5213018459118931,-0.06540053564292464,-0.4501619939596997,0.13916893275819892,0.705100578002541,1
50.0,1.097274169082606,1.4732216984755455,5.0,0.0,-1.4960226179091864,-1.352415294789711,0.6717638006095458,-1.4960226179091864,4.6643767273716294,1.502001920492131,0.5883038387364207,0.0,-0.4068673650417343,0.0,1.0,50,2.458830172051944,1.0,0.0,2.0,0.0,-0.5301299971471632,-0.06540053564292464,2.2214225399257583,0.13916893275819892,1.5275060872834183,0
